waterBodyID,WBID,MULakeNumber,waterBody,WATER_BODY_DNR,Distance,waterBodyLatitude,waterBodyLongitude,waterBodyDesc,countyID,countryID,ecoregionID,stateID,waterBodyTypeID,MDNRNameID,primarySLAP19,damHeightM,volumeM3,surfAreaHA,watershedAreaHA,notes,geometry
62,7187,63,Spring Fork,Spring Fork Lake,779,38.5683,-93.2414,,,187,1,29,2,,,12.8,1989603,37.5,2867.5,,POINT (-10379585.168851938 4660021.553949889)
63,7093,64,Odessa (Lower),Odessa Lake,485,38.9711,-93.9894,,,187,1,29,2,,,14.3,1603524,36.4,945.5,,POINT (-10462852.147965306 4717532.740582959)
64,7103,65,Tapawingo,Lake Tapawingo,710,39.0242,-94.3156,,,187,1,29,2,,,16.8,1726872,30.6,525.1,,POINT (-10499164.565862073 4725138.6079844795)
65,7102,66,Prairie Lee,Prairie Lee Lake,512,38.9437,-94.3301,,,187,1,29,2,,,21,3083700,54.4,3346.2,,POINT (-10500778.698478576 4713610.28615599)
66,7091,67,Lotawana,Lake Lotawana,1293,38.9353,-94.2464,,,187,1,29,2,,,17.7,14268897,189.4,3459.1,,POINT (-10491461.257099178 4712408.085524416)
67,7097,68,Longview,Longview Lake,2752,38.9247,-94.4661,,,187,1,29,2,,,33.5,27259908,376.4,12759.3,,POINT (-10515918.14922646 4710891.226025214)
68,7214,69,Harrisonville,Harrisonville City Lake,1476,38.7644,-94.3258,,,187,1,29,2,,,16.8,13907487,188.7,3853.6,,POINT (-10500300.024668165 4687979.861973425)
69,7218,70,North,North Lake,536,38.6861,-94.3583,,,187,1,29,2,,yes,8.5,287401,15.3,511.5,,POINT (-10503917.908118946 4676807.312893411)
70,7072,71,Waukomis,Waukomis Lake,685,39.2286,-94.6325,,,187,6,29,2,,,20.7,2827136,32.4,493.8,,POINT (-10534441.71249446 4754469.660360261)
71,7074,72,Smithville ,Helvey Park Lake,3049,39.3975,-94.5495,,,187,1,29,2,,,32,178361208,2868.1,54323.8,,POINT (-10525202.194758618 4778771.039322749)
72,7086,73,Rocky Hollow,Rocky Hollow Lake,384,39.3556,-94.2758,,,187,1,29,2,,,14,737621,9.5,855.2,,POINT (-10494734.0501285 4772736.980603285)
73,7087,74,Watkins Mill,Watkins Mill Lake,700,39.3933,-94.2631,,,187,1,29,2,,,15.8,3207048,43.9,778.2,,POINT (-10493320.292595426 4778166.029979056)
74,7067,75,Sugar,Lewis & Clark Lake,1274,39.5457,-95.0493,,,187,6,29,2,,,,,,,,POINT (-10580839.676257098 4800142.602094066)
75,NA,76,Contrary (Oxbow),Lake Contrary,,39.7203,-94.9071,,,187,6,29,1,,,,,,,,POINT (-10565010.044666294 4825379.8964592675)
76,7453,77,Allaman,Lake Allaman,93,39.6567,-94.2147,,,187,1,29,2,,,6.1,59207,2.4,68.1,,POINT (-10487932.42924103 4816179.551841794)
77,7124,78,Hamilton City,Hamilton Lake,696,39.7431,-94.0347,,,187,1,29,2,,,12.2,1232247,30.5,495.9,,POINT (-10467894.920898242 4828680.198836582)
78,7123,79,Breckenridge City,Breckenridge Lake,357,39.78,-93.8072,,,187,1,29,2,,,8.5,160352,5.7,161.9,,POINT (-10442569.736742772 4834023.792394652)
79,7122,80,Viking,Lake Viking,1951,39.9378,-94.0569,,,187,1,29,2,,,25.9,13568280,207.3,3654.2,,POINT (-10470366.213593852 4856907.65753541)
80,7118,81,Pony Express,Pony Express Lake,880,39.8044,-94.38,,,187,1,29,2,,,12.2,2960352,105.8,1234.8,,POINT (-10506333.54106916 4837558.799354142)
81,7115,82,Maysville,Maysville Lake,464,39.8781,-94.3785,,,187,1,29,2,,,6.1,271366,13.4,827,,POINT (-10506166.56183297 4848243.883540993)
82,7109,83,Bethany (North),New City Lake,384,40.3136,-94.0309,,,187,1,29,2,,,18.3,1800881,29.7,305.8,new,POINT (-10467471.906833228 4911618.975061698)
