WBID,WATER_BODY,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95,Waterbody_,Watershed_
7074,Helvey Park Lake,46.5,53.8,65.7,25.7,4.0,,12.0,,,,1.0,402.6,,,,65197.44,922349.00
7075,Gower Lake,67.2,76.0,85.9,48.1,29.0,,31.5,,,,,273.9,511.1,8.0,2.0,96294.60,1720236.46
7078,Old Plattsburg Lake,352.8,196.0,165.1,17.3,,13.0,699.4,,,7.0,2.0,3505.9,5172.6,121.0,11.0,101215.29,15575666.40
7104,Jamesport City Lake,106.4,111.5,222.5,66.7,9.0,16.0,417.2,,47.7,,8.5,1959.3,951.3,,5.4,113702.64,6020738.68
7115,Maysville Lake,162.4,42.0,5.0,4.0,,,68.5,,4.0,,2.9,172.5,,1.1,9.2,263607.28,721565.13
7116,Maysville Lake,40.7,9.5,4.1,1.4,,,19.3,,2.0,,,131.3,0.1,8.3,3.0,84008.31,336383.32
7119,Cameron Lake #3,655.8,741.4,1984.3,702.3,111.0,1.2,1126.8,,15.3,12.0,126.6,6154.3,2991.0,83.0,23.0,631852.62,22459257.69
7120,Cameron Lake #1,94.2,113.1,341.2,105.5,1.0,0.2,209.4,,,,4.0,1730.9,1863.2,55.0,6.0,145296.14,6896527.37
7121,Cameron Lake #2,143.9,593.6,1478.9,578.6,110.0,,391.3,,12.0,,20.3,1405.1,389.7,14.0,7.0,217264.56,7843968.48
7384,Cameron Lake #4 (Grindstone Reservoir),1013.4,854.9,1801.7,297.9,52.7,18.2,3093.2,6.0,2.0,6.0,62.0,18349.0,26882.0,82.0,36.1,1435871.54,80109017.25
7438,Willow Brook Lake,704.0,456.3,166.3,15.2,,8.0,1280.3,7.0,109.7,25.0,73.6,11744.5,1560.6,28.0,79.0,1032602.52,24869164.92
7113,King City Old Reservoir,39.8,20.0,35.0,5.2,4.0,,,,,,0.2,529.0,1.8,,,59597.12,977546.25
7114,King City New Reservoir,163.7,55.0,67.4,15.6,5.1,,,,,,1.0,1049.9,69.1,,,168612.70,2195549.70
7400,Middle Fork Water Company Lake,500.2,464.7,112.3,15.7,2.0,,4958.8,10.0,162.2,292.2,210.8,8424.3,3872.7,9.0,87.0,685571.66,29626603.82
7434,King City Lake (South),127.9,76.7,85.0,3.3,,1.0,11.0,,13.0,,0.7,1362.4,619.0,2.0,1.8,201618.96,3542938.47
7236,McDaniel Lake,4780.2,4036.5,4433.2,967.5,262.2,221.7,32364.2,1522.3,4876.4,230.1,191.8,58329.2,219.0,220.7,31.0,1400175.52,160612673.40
7127,Trenton Lake Lower,1285.6,7666.7,7338.3,1562.0,387.5,249.5,60899.5,1517.4,12501.7,1113.3,1625.3,149020.8,82343.6,5616.1,362.0,672671.91,517936622.12
7128,Trenton Lake Upper,295.1,185.7,207.1,13.2,,,175.5,,61.2,,18.0,935.2,422.5,21.0,,463935.30,3594049.88
7106,Old Bethany City Lake,68.6,271.5,150.4,22.5,3.0,,100.7,,63.2,,3.0,290.1,,,1.0,120804.02,1508295.86
7386,Harrison County Lake,1360.2,1116.7,360.5,28.1,2.0,3.0,6160.8,79.6,391.5,122.7,57.3,34333.8,2072.5,98.0,155.7,2108384.47,72113325.48
7163,Armstrong Lake,44.2,18.9,16.5,2.4,,,146.9,,,,,609.4,651.7,,,53662.44,2241396.52
7182,D C Rogers Lake,976.3,278.7,165.4,29.1,1.0,,5313.3,19.0,366.7,51.9,191.4,3946.6,254.8,52.0,73.0,1315123.28,17572329.04
7333,Shepard Mountain Lake,207.8,312.8,23.9,7.0,,,9192.9,62.0,130.4,12.0,15.0,1710.2,,6.0,,148117.78,16782508.64
7098,Unity Lake Number One,76.0,75.1,183.2,266.5,153.7,1.3,493.3,,4.8,,35.8,273.5,111.6,,13.0,127638.34,2514820.90
7099,Unity Lake Number Two,126.0,527.6,584.1,482.3,206.7,4.1,975.1,,29.2,33.0,29.2,2027.6,266.9,3.0,5.0,174678.54,7899935.01
7193,Holden City Lake,1268.6,242.5,291.9,82.3,58.7,32.0,1609.9,,87.0,2.0,72.0,4781.4,2962.6,16.0,43.0,1900131.98,17118783.93
7025,Edina Lake,40.5,2.5,,1.5,,,40.8,,,3.4,,12.3,116.0,15.4,12.6,65941.24,378611.65
7026,Edina Reservoir,251.5,239.4,106.2,29.5,1.0,,113.3,,,,8.1,530.8,3268.2,,,352804.65,7025527.74
7093,Odessa Lake,501.2,815.3,734.4,159.1,28.4,7.0,1375.3,,14.0,,17.0,5303.8,1446.8,5.0,19.8,586236.72,15547947.87
7094,Odessa Lake (Old),94.9,548.3,549.9,138.7,21.9,0.0,954.1,,7.1,,14.0,3451.0,1137.5,3.0,2.8,145404.82,10322851.26
7190,Higginsville Reservoir (South),830.9,195.2,202.7,50.6,12.1,,973.6,,,33.0,25.1,2267.9,4219.7,6.0,51.2,987538.06,13266834.06
7191,Higginsville Reservoir (North),201.3,173.5,149.5,26.7,11.4,,962.1,,,33.0,23.0,1974.0,3954.2,6.0,46.0,263080.94,11312025.86
7192,Edwin A Pape Lake,1331.6,483.9,570.5,68.3,9.0,,3528.8,,46.0,16.0,74.0,9687.4,8764.6,45.0,126.4,1800759.20,36892568.25
7020,Lewistown Lake,139.4,20.5,7.7,2.0,,,95.4,13.0,31.9,,0.3,253.8,1084.0,4.0,11.7,234775.01,2562779.47
7021,Ewing Lake,162.4,129.8,173.9,36.2,1.0,,705.6,0.4,14.0,,6.1,404.6,40.9,4.4,2.7,260847.50,2584034.59
7022,New La Belle Lake,80.8,17.0,14.8,3.0,,,,,,,,371.1,89.2,3.0,4.0,127663.64,897996.15
7023,Belleview Lake,462.7,405.7,463.1,97.6,18.3,24.0,383.3,,,14.0,37.2,1081.8,2334.3,2.0,5.5,730897.98,8209762.13
7138,Brookfield Lake,495.3,88.4,145.8,26.3,5.0,,291.5,,36.5,1.0,37.0,2034.5,2.0,18.0,1.0,741431.49,4858753.64
7143,Linneus Lake,87.7,43.9,29.2,2.7,,,689.9,,161.5,,9.0,1135.5,233.2,1.0,2.0,115127.03,3667609.73
7159,Bucklin Lake,78.2,15.2,22.8,3.9,2.3,,,,,,,740.2,283.2,1.0,,120326.64,1749385.33
